channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Ranz Kyle,22,1,0.0,2.0,1.0,1.0,False,False,False
Good Mythical Morning,24,1,1.0,2.0,2.0,2.0,False,False,False
jypentertainment,10,1,1.0,3.0,3.0,3.0,False,False,False
JamesBayVEVO,10,1,1.0,3.0,2.0,1.0,False,False,False
Feast Of Fiction,26,1,0.0,1.0,2.0,1.0,False,False,False
videogamedunkey,20,1,1.0,3.0,3.0,3.0,False,False,False
The Official Pokémon YouTube channel,20,1,1.0,3.0,3.0,3.0,False,False,False
Senator Chris Murphy,25,0,0.0,0.0,1.0,1.0,False,False,False
Highlight Heaven,17,1,0.0,0.0,0.0,0.0,False,False,False
JelloApocalypse,23,1,1.0,3.0,2.0,3.0,False,False,False
Mnet K-POP,24,1,1.0,3.0,3.0,3.0,False,False,False
ToniBraxtonVEVO,10,1,1.0,2.0,2.0,2.0,False,False,False
TheEllenShow,24,1,0.0,1.0,0.0,0.0,False,False,False
justintimberlakeVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
Rosanna Pansino,26,1,0.0,1.0,0.0,2.0,False,False,False
NBA,17,1,0.0,0.0,0.0,0.0,False,False,False
ABC News,25,1,1.0,1.0,3.0,3.0,False,False,False
Saturday Night Live,24,1,1.0,1.0,2.0,1.0,False,False,False
Doctor Mike,22,1,0.0,2.0,0.0,2.0,False,False,False
Charlie Puth,10,1,1.0,3.0,3.0,2.0,False,False,False
Leroy Sanchez,10,1,1.0,3.0,1.0,2.0,False,False,False
AsapSCIENCE,28,1,1.0,2.0,2.0,2.0,False,False,False
Real Madrid C.F.,24,1,0.0,0.0,0.0,0.0,False,False,False
TMZ,24,1,0.0,0.0,0.0,1.0,False,False,False
Michelob ULTRA,17,1,1.0,,,0.0,False,True,False
CrazyRussianHacker,28,1,1.0,2.0,2.0,2.0,False,False,False
Lionsgate Movies,1,1,1.0,2.0,3.0,3.0,False,False,False
Beats 1 on Apple Music,10,1,1.0,2.0,3.0,2.0,False,False,False
PewDiePie,24,1,1.0,3.0,3.0,3.0,False,False,False
Mr. Kate,26,1,1.0,3.0,2.0,3.0,False,False,False
杰威爾音樂 JVR Music,10,1,1.0,3.0,3.0,3.0,False,False,False
Kurzgesagt – In a Nutshell,27,1,1.0,3.0,2.0,3.0,False,False,False
Healthcare Triage,27,1,0.0,0.0,0.0,0.0,False,False,False
Lele Pons,23,1,1.0,3.0,3.0,3.0,False,False,False
TheSorryGirls,26,1,0.0,1.0,0.0,0.0,False,False,False
StudiocanalUK,1,1,0.0,0.0,0.0,0.0,False,False,False
FOX Soccer,17,1,0.0,0.0,1.0,1.0,False,False,False
Focus Features,24,1,0.0,0.0,1.0,0.0,False,False,False
Entertainment Tonight,24,1,0.0,0.0,2.0,0.0,False,False,False
Rudy Mancuso,10,1,1.0,3.0,3.0,3.0,False,False,False
The Voice,24,1,0.0,1.0,1.0,1.0,False,False,False
WIRED,28,1,0.0,1.0,0.0,1.0,False,False,False
REACT,24,1,1.0,1.0,2.0,1.0,False,False,False
REACT,24,1,1.0,2.0,2.0,2.0,False,False,False
Verizon,28,1,0.0,0.0,1.0,0.0,False,False,False
Jason Yu,22,0,0.0,1.0,1.0,1.0,False,False,False
MTV,24,1,1.0,1.0,1.0,1.0,False,False,False
Saturday Night Live,24,1,1.0,2.0,3.0,2.0,False,False,False
NFL,17,1,1.0,1.0,1.0,2.0,False,False,False
Disney•Pixar,1,1,1.0,3.0,3.0,3.0,False,False,False
Britain's Got Talent,24,1,1.0,2.0,2.0,,True,False,False
Warner Bros. Pictures,24,1,0.0,0.0,0.0,0.0,False,False,False
The New York Times,25,1,0.0,0.0,0.0,0.0,False,False,False
ESPN,17,1,1.0,1.0,1.0,2.0,False,False,False
Toyota Global,2,1,1.0,1.0,1.0,0.0,False,False,False
MLG Highlights,17,1,1.0,1.0,2.0,2.0,False,False,False
20th Century Fox,1,1,1.0,3.0,3.0,3.0,False,False,False
Dude Perfect,17,1,1.0,3.0,3.0,3.0,False,False,False
ZaynVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
Paramount Pictures,1,1,1.0,3.0,3.0,3.0,False,False,False
Blue Origin,28,0,0.0,0.0,0.0,0.0,False,False,False
Netflix,24,1,0.0,1.0,2.0,1.0,False,False,False
BANGTANTV,24,1,1.0,3.0,2.0,3.0,False,False,False
Portugal. The Man,10,1,0.0,0.0,0.0,0.0,False,False,False
The View,29,1,0.0,0.0,2.0,1.0,False,False,False
MYSTERY SCIENCE THEATER 3000,23,1,0.0,0.0,0.0,0.0,False,False,False
BBC Radio 1,10,1,1.0,3.0,3.0,2.0,False,False,False
TED-Ed,27,1,0.0,1.0,0.0,0.0,False,False,False
Vsauce2,27,1,1.0,3.0,3.0,3.0,False,False,False
The Infographics Show,27,1,1.0,1.0,2.0,1.0,False,False,False
Kanye West - Topic,10,1,1.0,2.0,3.0,2.0,False,False,False
Simone Giertz,28,0,1.0,3.0,3.0,3.0,False,False,False
CrazyRussianHacker,28,1,1.0,1.0,2.0,2.0,False,False,False
Atlantic Records,10,1,1.0,3.0,3.0,3.0,False,False,False
Billboard,10,1,1.0,3.0,2.0,3.0,False,False,False
LOL Network,23,1,1.0,2.0,2.0,2.0,False,False,False
The Sims,20,1,1.0,3.0,2.0,3.0,False,False,False
The Scran Line,26,1,0.0,0.0,0.0,0.0,False,False,False
CinemaSins,1,1,1.0,2.0,3.0,3.0,False,False,False
TechSmartt,28,1,1.0,2.0,3.0,3.0,False,False,False
The School of Life,27,1,0.0,1.0,0.0,1.0,False,False,False
BØRNSmusicVEVO,10,1,0.0,2.0,2.0,2.0,False,False,False
FBE,24,1,1.0,2.0,3.0,2.0,False,False,False
Watch What Happens Live with Andy Cohen,24,1,0.0,0.0,0.0,0.0,False,False,False
Sevdaliza,10,1,0.0,1.0,0.0,0.0,False,False,False
Jaclyn Hill,26,1,1.0,3.0,3.0,3.0,False,False,False
Disney•Pixar,1,1,1.0,3.0,3.0,3.0,False,False,False
Sriram Murali,28,1,0.0,0.0,0.0,0.0,False,False,False
FifthHarmonyVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
Warner Bros. Pictures,24,1,1.0,2.0,2.0,2.0,False,False,False
Billboard,10,1,1.0,3.0,1.0,2.0,False,False,False
KatyPerryVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
Half as Interesting,27,1,1.0,2.0,3.0,2.0,False,False,False
Full Frontal with Samantha Bee,22,1,0.0,1.0,3.0,1.0,False,False,False
